reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,l,27.23341587500181,None,0,0,0,1,0.08045029199274722,,0.06720045900146943,0.08045029199274722,1.0131705419917125,1.0131705419917125,1.0730483340012142,28.47302612499334,l,27.23341587500181,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
27,50,21,1,1,0,l,9.707470790992375,None,0,1,1,2,28.49605016699934,,28.47631966699555,28.49605016699934,29.482921749993693,29.482921749993693,29.510104417000548,39.19829845899949,l,9.707470790992375,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
67,75,119,2,2,0,t,7.17657062500075,None,0,2,2,5,39.224270249993424,,39.209384542002226,39.224270249993424,40.195744541997556,40.195744541997556,40.2196318339993,47.376964333991054,t,7.17657062500075,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
49,60,89,3,3,0,t,4.827254374991753,None,0,3,3,4,47.395144334004726,,47.38694349999423,47.395144334004726,48.37245145899942,48.37245145899942,48.38985141699959,53.2104257089959,t,4.827254374991753,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
40,55,62,4,4,0,t,5.450046500001918,None,0,4,4,3,53.224851374994614,,53.213242708996404,53.224851374994614,54.199620125000365,54.199620125000365,54.22735637499136,59.661441417003516,t,5.450046500001918,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
78,80,162,5,5,0,t,5.069776249991264,None,0,5,5,6,59.677256458991906,,59.667911833996186,59.677256458991906,60.66052624999429,60.66052624999429,60.666110124991974,65.73347949999152,t,5.069776249991264,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
11,30,7,6,6,0,l,4.716228791992762,None,0,6,6,0,65.74786908399255,,65.73872516700067,65.74786908399255,66.73371374999988,66.73371374999988,66.76049395899463,71.45668137499888,l,4.716228791992762,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
15,35,13,7,0,1,l,3.5297586250089807,None,1,0,7,1,71.47226624999894,,71.46216475000256,71.47226624999894,72.45673066699237,72.45673066699237,72.46629399999802,75.9998034589953,l,3.5297586250089807,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
49,60,89,8,1,1,t,4.2578589170007035,None,1,1,8,4,76.01582712499658,,76.00813329199445,76.01582712499658,77.00435216700134,77.00435216700134,77.00435216700134,81.26463712500117,t,4.2578589170007035,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
78,80,162,9,2,1,t,23.36536833300488,None,1,2,9,6,81.27836820899392,,81.27087883399508,81.27836820899392,82.26132816700556,82.26132816700556,82.27347975000157,105.63185925000289,t,23.36536833300488,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
67,75,119,10,3,1,t,3.8459224160033045,None,1,3,10,5,105.6468821669987,,105.63798012500047,105.6468821669987,106.62055058400438,106.62055058400438,106.65266091699596,110.47791362499993,t,3.8459224160033045,None,r_3,"001",2025-11-01_10h04.02.095,Delay Discounting Task,,2025.2.0,None,2025-11-01 10h04.02.117170 +0530,
