participantS,"""repetition_related""","""repetition_unrelated""","""transposition_related""","""transposition_unrelated"""
1,1.34727767,0.65073498,0.80050511,0.7883595
2,1.595786616,1.176489205,1.170309008,1.01259897
3,1.69234856,1.66954958,1.38499773,1.73416457
4,3.246536305,1.305318902,1.090317156,1.191556959
5,1.095983032,0.828164108,0.696157534,0.782748136
