pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,protrianglefixation.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,Fixation_2.started,line1_2.started,line2_2.started,line3_2.started,line4_2.started,Fixation_2.stopped,protrianglefixation_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c,10,2,2,c,1,0.08699991699995735,None,,,,,2,2,10,2,,,,,26.97055329199975,,26.96307241699924,26.97055329199975,27.962972416999946,27.962972416999946,27.962972416999946,27.962972416999946,27.969662374999643,28.950683000000026,28.950683000000026,29.045737832999293,c,1,0.08699991699995735,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-150,z,11,3,2,z,1,0.10223537499950908,None,,,,,2,3,11,3,,,,,29.053188957999737,,29.04615479199947,29.053188957999737,30.036053582999557,30.036053582999557,30.036053582999557,30.036053582999557,30.045159457999944,31.035352375000002,31.035352375000002,31.1456791669998,z,1,0.10223537499950908,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-50,x,12,0,3,x,1,0.11015279099956388,None,,,,,3,0,12,0,,,,,31.15363533299933,,31.146167582999624,31.15363533299933,32.13541958299993,32.13541958299993,32.13541958299993,32.13541958299993,32.15227416699963,33.16133841699957,33.16133841699957,33.27922670799944,x,1,0.11015279099956388,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
150,v,13,1,3,v,1,0.047632625000005646,None,,,,,3,1,13,1,,,,,33.287031957999716,,33.27965241699985,33.287031957999716,34.270870666999144,34.270870666999144,34.270870666999144,34.270870666999144,34.28045574999942,35.269814332999886,35.269814332999886,35.33111495799949,v,1,0.047632625000005646,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
50,c,14,2,3,c,1,0.04457862399976875,None,,,,,3,2,14,2,,,,,35.34294920799948,,35.33189279199996,35.34294920799948,36.327907374999995,36.327907374999995,36.327907374999995,36.327907374999995,36.335734249999405,37.327795749999495,37.327795749999495,37.3801555,c,1,0.04457862399976875,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-150,z,15,3,3,z,1,0.003605583000535262,None,,,,,3,3,15,3,,,,,37.38995408299979,,37.38076149999961,37.38995408299979,38.36931320799977,38.36931320799977,38.36931320799977,38.36931320799977,38.38581704199987,39.37778766699921,39.37778766699921,39.38669933299934,z,1,0.003605583000535262,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-50,x,16,0,4,x,1,0.033854790999612305,None,,,,,4,0,16,0,,,,,39.397855124999296,,39.387251499999365,39.397855124999296,40.38190074999966,40.38190074999966,40.38190074999966,40.38190074999966,40.39594541699989,41.38441754199994,41.38441754199994,41.41954933299985,x,1,0.033854790999612305,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
150,v,17,1,4,v,1,0.15675841600022977,None,,,,,4,1,17,1,,,,,41.427668082999844,,41.419973082999604,41.427668082999844,42.419370207999236,42.419370207999236,42.419370207999236,42.419370207999236,42.419370207999236,43.411528332999296,43.411528332999296,43.56955595799991,v,1,0.15675841600022977,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
50,c,18,2,4,c,1,0.09783791599966207,None,,,,,4,2,18,2,,,,,43.57807029199921,,43.570049166999524,43.57807029199921,44.56930429199929,44.56930429199929,44.56930429199929,44.56930429199929,44.56930429199929,45.57943304199944,45.57943304199944,45.6813049579996,c,1,0.09783791599966207,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-150,z,19,3,4,z,1,0.06620912499965925,None,,,,,4,3,19,3,,,,,45.693621249999524,,45.681852041999264,45.693621249999524,46.678569707999486,46.678569707999486,46.678569707999486,46.678569707999486,46.68566841699976,47.67799258299965,47.67799258299965,47.74600304199976,z,1,0.06620912499965925,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-50,x,20,0,5,x,1,0.0065759580002122675,None,,,,,5,0,20,0,,,,,47.75728637499924,,47.74653174999912,47.75728637499924,48.736750541999754,48.736750541999754,48.736750541999754,48.736750541999754,48.75313845799974,49.74450812499981,49.74450812499981,49.75350758299919,x,1,0.0065759580002122675,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
150,v,21,1,5,v,1,0.010174540999287274,None,,,,,5,1,21,1,,,,,49.76547733299958,,49.75404470799913,49.76547733299958,50.744654957999956,50.744654957999956,50.744654957999956,50.744654957999956,50.76176829199994,51.751850374999776,51.751850374999776,51.77002862499921,v,1,0.010174540999287274,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
50,c,22,2,5,c,1,0.04137425000044459,None,,,,,5,2,22,2,,,,,51.78149479199965,,51.77057995799987,51.78149479199965,52.770718541999486,52.770718541999486,52.770718541999486,52.770718541999486,52.78330604199982,53.769591874999605,53.769591874999605,53.81419874999938,c,1,0.04137425000044459,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-150,z,23,3,5,z,1,0.12517229100012628,None,,,,,5,3,23,3,,,,,53.826329332999194,,53.8147638749997,53.826329332999194,54.81276929199976,54.81276929199976,54.81276929199976,54.81276929199976,54.827424207999684,55.8128109169993,55.8128109169993,55.94649733299957,z,1,0.12517229100012628,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-50,x,24,0,6,x,1,0.07341991600060283,None,,,,,6,0,24,0,,,,,55.95686116699926,,55.94708229199932,55.95686116699926,56.94606108299922,56.94606108299922,56.94606108299922,56.94606108299922,56.95251783299955,57.94449233299929,57.94449233299929,58.019994832999146,x,1,0.07341991600060283,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
150,v,25,1,6,v,1,0.13829979199999798,None,,,,,6,1,25,1,,,,,58.031515624999884,,58.02051091699923,58.031515624999884,59.02042354199966,59.02042354199966,59.02042354199966,59.02042354199966,59.045958541999426,60.011564416999136,60.011564416999136,60.15406499999972,v,1,0.13829979199999798,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
50,c,26,2,6,c,1,0.12868349899963505,None,,,,,6,2,26,2,,,,,60.165640166999765,,60.15475441699982,60.165640166999765,61.152496416999384,61.152496416999384,61.152496416999384,61.152496416999384,61.161741124999935,62.15515054199932,62.15515054199932,62.286599332999685,c,1,0.12868349899963505,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-150,z,27,3,6,z,1,0.12019887399947038,None,,,,,6,3,27,3,,,,,62.29768983299982,,62.287125416999515,62.29768983299982,63.29595112499919,63.29595112499919,63.29595112499919,63.29595112499919,63.31275029199969,64.2872465419996,64.2872465419996,64.43128262499977,z,1,0.12019887399947038,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-50,x,28,0,7,x,1,0.2482761239998581,None,,,,,7,0,28,0,,,,,64.44433866700001,,64.43213187499987,64.44433866700001,65.4318606249999,65.4318606249999,65.4318606249999,65.4318606249999,65.4459792079997,66.42942595799923,66.42942595799923,66.67927862499982,x,1,0.2482761239998581,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
